version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 458575205409 eni-09faf44014196404b 66.163.122.124 10.0.1.215 49187 30695 6 1 40 1789610779 1789610779 ACCEPT OK
2 458575205409 eni-09faf44014196404b 35.203.210.124 10.0.1.215 55365 5433 6 1 44 1789610778 1789610792 ACCEPT OK
2 458575205409 eni-09faf44014196404b 78.128.114.46 10.0.1.215 47538 45769 6 1 40 1789610778 1789610792 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 85.217.140.6 10.0.2.88 55361 36268 6 1 52 1789610787 1789610796 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 147.185.133.131 10.0.2.88 53454 22096 6 1 44 1789610787 1789610796 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 162.216.150.129 10.0.2.88 51301 46523 6 1 44 1789610787 1789610796 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 118.194.250.22 10.0.2.88 41547 8085 6 1 60 1789610807 1789610830 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 139.162.88.198 10.0.2.88 32877 1194 17 1 41 1789610807 1789610830 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 147.185.132.35 10.0.2.88 54855 9075 6 1 44 1789610807 1789610830 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 147.185.133.155 10.0.2.88 56053 9056 6 1 44 1789610807 1789610830 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 216.25.89.73 10.0.2.88 49587 3322 6 1 44 1789610807 1789610830 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 207.90.244.29 10.0.2.88 0 0 1 1 40 1789610809 1789610827 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 - - - - - - - 1789610809 1789610827 - SKIPDATA
2 458575205409 eni-09faf44014196404b 79.124.56.102 10.0.1.215 43798 5011 6 1 40 1789610790 1789610801 ACCEPT OK
2 458575205409 eni-09faf44014196404b 85.217.140.24 10.0.1.215 49955 50792 6 1 52 1789610790 1789610801 ACCEPT OK
2 458575205409 eni-09faf44014196404b 162.216.150.104 10.0.1.215 50394 141 6 1 44 1789610790 1789610801 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 162.216.150.239 10.0.2.88 56954 8890 6 1 44 1789610825 1789610825 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 95.111.241.206 10.0.2.88 62495 80 6 1 44 1789610819 1789610825 ACCEPT OK
2 458575205409 eni-007e9247c3198bc26 112.121.24.153 10.0.2.88 0 0 47 1 66 1789610819 1789610825 ACCEPT OK
2 458575205409 eni-09faf44014196404b 77.90.185.79 10.0.1.215 58477 8332 6 1 52 1789610818 1789610818 ACCEPT OK
2 458575205409 eni-09faf44014196404b 85.217.140.11 10.0.1.215 42535 28617 6 1 52 1789610837 1789610838 ACCEPT OK
2 458575205409 eni-09faf44014196404b 35.203.210.162 10.0.1.215 50152 9931 6 1 44 1789610802 1789610821 ACCEPT OK
2 458575205409 eni-09faf44014196404b 162.216.150.188 10.0.1.215 54242 21341 6 1 44 1789610802 1789610821 ACCEPT OK
2 458575205409 eni-09faf44014196404b 205.210.31.9 10.0.1.215 50586 9200 6 1 44 1789610802 1789610821 ACCEPT OK
